experiment,update,val_accuracy,train_accuracy,mean_is,median_is,properly_captured_pct,n_empty_hyp,llm_context_recoverable_pct,tier_5_excellent_pct,tier_4_good_pct,tier_3_fair_pct,tier_2_poor_pct,tier_1_failed_pct
Exp A (r=16),320,62.939,64.997,2.312,2.318,38.8,26,48.7,17.9,21.0,17.0,18.3,25.9
Exp A (r=16),1000,60.143,86.025,2.424,2.345,33.5,1,49.6,14.3,19.2,26.3,24.1,16.1
Exp A (r=16),1500,59.068,93.217,2.355,2.196,32.1,1,41.5,13.8,18.3,24.6,25.4,17.9
Exp A (r=16),2000,59.122,94.722,2.389,2.274,33.5,0,46.0,15.2,18.3,23.7,27.2,15.6
Exp A (r=16),3000,58.978,95.522,2.391,2.327,35.7,0,46.0,12.5,23.2,21.9,26.8,15.6
Exp B (r=64),320,59.803,60.565,2.023,2.022,33.0,57,42.4,15.2,17.9,17.4,13.8,35.7
Exp B (r=64),1000,57.24,81.601,2.159,1.994,28.1,12,39.3,13.8,14.3,21.9,26.3,23.7
Exp B (r=64),1500,55.968,92.416,2.189,1.903,26.3,3,37.5,12.5,13.8,21.0,30.8,21.9
Exp B (r=64),2000,56.846,94.823,2.182,1.935,28.6,2,38.4,13.8,14.7,18.3,33.5,19.6
Exp B (r=64),3000,56.613,95.573,2.206,1.983,29.9,1,37.5,12.9,17.0,18.3,29.0,22.8
